text,label
"Selamat! Anda menang undian BCA Rp50.000.000, klik link ini untuk klaim: bit.ly/klaim-hadiah",1
"Rekening anda akan diblokir dalam 24 jam, segera verifikasi di link berikut untuk mencegahnya",1
"DANA anda mendapat bonus Rp500.000, klaim sekarang sebelum kadaluarsa di dana-verifikasi.com",1
"Kami dari pihak bank BRI, mohon konfirmasi data anda dengan klik link ini agar tidak terblokir",1
"Selamat anda terpilih sebagai pemenang undian Telkomsel, hadiah motor dan uang tunai menanti anda",1
"Investasi modal 500rb bisa jadi 5 juta dalam seminggu, gabung sekarang juga sebelum kehabisan slot",1
"Paket anda tertahan di bea cukai, bayar biaya admin Rp150.000 untuk proses pengiriman",1
"Klik link berikut untuk verifikasi akun OVO anda agar tidak dinonaktifkan permanen",1
"Anda mendapat cashback listrik gratis dari PLN, isi data di link berikut segera",1
"Kami menawarkan pinjaman online tanpa jaminan cair dalam 5 menit, klik untuk daftar",1
"Nomor anda terpilih mendapat hadiah Toyota Innova dari program undian nasional, hubungi admin di link ini",1
"Mohon transfer biaya admin dulu ya sebelum hadiah dikirimkan ke alamat anda",1
"Akun Shopee anda akan dihapus, verifikasi sekarang untuk menyelamatkan poin reward anda",1
"Selamat nomor anda beruntung mendapat pulsa gratis 100rb, klik link untuk klaim",1
"Kami dari customer service Gojek, mohon konfirmasi OTP yang baru saja anda terima",1
"Dapatkan penghasilan tambahan 3 juta per hari hanya dengan klik iklan, daftar sekarang",1
"Rekening BCA anda terdeteksi aktivitas mencurigakan, klik link berikut untuk amankan akun anda",1
"Anda mendapat kesempatan investasi emas dengan keuntungan 20% per bulan tanpa risiko",1
"Segera lakukan pembayaran cicilan yang tertunggak melalui link berikut agar tidak masuk daftar hitam BI checking",1
"Halo kak, produk skincare ready stock, bisa COD area Jakarta, minat DM ya",0
"Meeting tim besok jam 10 pagi di ruang rapat lantai 3, jangan lupa bawa laporan mingguan",0
"Cuaca hari ini cerah berawan, suhu sekitar 28 derajat celcius di wilayah Jakarta",0
"Terima kasih sudah belanja di toko kami, pesanan anda sedang dikemas dan akan segera dikirim",0
"Info loker: dibutuhkan admin sosial media, pengalaman min 1 tahun, kirim CV ke email resmi kami",0
"Selamat ulang tahun ya, semoga sehat selalu dan sukses terus dalam karirnya",0
"Jangan lupa besok ada webinar gratis tentang literasi keuangan jam 7 malam via Zoom",0
"Promo akhir tahun diskon 30% untuk semua produk elektronik di toko resmi kami, cek katalog di website",0
"Halo, saya ingin konfirmasi jadwal konsultasi dokter gigi untuk hari Sabtu ya",0
"Tugas kelompok dikumpulkan paling lambat hari Jumat jam 5 sore melalui platform kelas",0
"Selamat pagi, mohon info untuk jadwal maintenance server minggu ini ya tim",0
"Buku yang anda pesan sudah tersedia di perpustakaan, silakan diambil paling lambat 3 hari",0
"Reminder: pembayaran listrik bulan ini bisa dicek langsung di aplikasi PLN Mobile resmi",0
"Terima kasih telah menghubungi customer service kami, tiket anda sedang kami proses",0
"Ada rapat RT malam ini jam 8 membahas jadwal kerja bakti minggu depan",0
"Selamat, laporan yang anda kirim sudah diterima dan akan direview oleh tim terkait",0
"Info kelas coding gratis untuk pemula, daftar melalui website resmi komunitas kami",0
"Jadwal ujian akhir semester sudah dirilis, silakan cek di portal akademik kampus masing-masing",0
"Terima kasih atas kunjungan anda ke pameran kami, semoga bermanfaat informasinya",0
"Tolong kirimkan draft laporan keuangan bulan ini paling lambat besok pagi ya",0
"Selamat datang di grup diskusi kelas, mohon perkenalkan diri masing-masing di sini",0
"Cek promo tiket pesawat murah untuk liburan akhir tahun di aplikasi resmi maskapai",0
"Nomor resi pengiriman anda sudah aktif, silakan lacak paket melalui website resmi ekspedisi",0
"Undangan pernikahan sudah kami kirim ke alamat rumah, mohon konfirmasi kehadirannya ya",0
"Jangan lupa vaksinasi booster untuk anak, jadwal bisa dicek di puskesmas terdekat",0
"Halo, produk sudah sampai, terima kasih pelayanannya sangat memuaskan dan cepat",0
"Info bagi yang mau ikut lomba karya tulis ilmiah, deadline pendaftaran akhir bulan ini",0
"Selamat, anda lolos tahap wawancara, silakan konfirmasi kehadiran interview tahap selanjutnya",0
"Reminder pembayaran SPP bulan ini bisa dilakukan melalui bank yang bekerja sama dengan sekolah",0
"Konten menarik nih buat kalian yang suka masak, resep rendang simple ala rumahan",0
"Selamat siang, kami ingin follow up terkait proposal kerja sama yang sudah dikirim minggu lalu",0
"Tim futsal kita menang tadi malam, selamat buat semua yang sudah berjuang",0
"Halo, mohon informasi ketersediaan kamar untuk tanggal 20-22 bulan depan ya",0
"BCA anda saldo kurang untuk transaksi ini, silakan top up melalui ATM atau mobile banking resmi",0
"Sudah waktunya ganti oli motor, jangan lupa service rutin setiap 2000 km",0
"Rapat evaluasi proyek akan dilaksanakan hari Rabu jam 2 siang secara online",0
"Konfirmasi pesanan anda: 2 buah kaos ukuran L warna hitam, total Rp150.000",0
"Selamat mengikuti ujian, semoga hasilnya memuaskan dan sesuai harapan ya",0
"Info penting: jadwal pengambilan rapor akan dilaksanakan hari Sabtu depan di sekolah",0
"Terima kasih sudah mendaftar workshop kami, link Zoom akan dikirim H-1 acara",0
"Halo, mohon dikirimkan invoice untuk pembelian bulan lalu ya, untuk keperluan laporan",0
"Ayo ikutan senam pagi bersama komunitas kita setiap hari Minggu di lapangan",0
"Selamat, produk anda telah lolos quality control dan siap untuk didistribusikan",0
"Jangan lupa besok deadline submit tugas akhir, upload melalui sistem kampus ya",0
"Kami informasikan bahwa jadwal libur nasional akan mempengaruhi jam operasional kantor",0
"Halo min, mau tanya stok baju ukuran M masih ada apa engga ya",0
"Terima kasih atas kepercayaannya berbelanja di toko kami selama ini",0
"Rekening dana pensiun anda bisa dicek langsung melalui aplikasi resmi BPJS Ketenagakerjaan",0
"Selamat, anda berhasil menyelesaikan modul pelatihan online, sertifikat akan dikirim via email",0
"Info gempa: BMKG melaporkan gempa magnitudo 4.5 di wilayah selatan Jawa, tidak berpotensi tsunami",0
"Tolong konfirmasi kehadiran untuk acara reuni sekolah bulan depan ya teman-teman",0
"Jadwal pemadaman listrik sementara akan dilakukan besok jam 10 pagi hingga 2 siang",0
"Selamat, pesanan anda sudah dikonfirmasi dan sedang menunggu proses pengiriman dari gudang",0
"Halo, mohon info apakah ada promo untuk pembelian dalam jumlah besar ya kak",0
"Diberitahukan kepada seluruh warga bahwa akan ada kerja bakti hari Minggu pagi",0
"Terima kasih sudah mengisi survey kepuasan pelanggan kami, masukan anda sangat berarti",0
"Anda mendapat hadiah undian iPhone 15 gratis, hubungi admin sekarang sebelum hangus",1
"PENTING: akun m-banking anda akan nonaktif otomatis, klik tautan berikut untuk aktivasi ulang",1
"Kami dari Kemenkeu ingin menginformasikan bahwa anda berhak menerima dana bansos, klik link untuk daftar",1
"Selamat! Whatsapp anda terpilih menjadi pemenang doorprize spesial dari acara ulang tahun kami",1
"Dapatkan modal usaha gratis dari pemerintah tanpa syarat, isi formulir di link berikut sekarang",1
"Kartu kredit anda terindikasi penyalahgunaan, segera hubungi nomor berikut untuk verifikasi keamanan",1
"Promo spesial hari ini beli 1 gratis 1 untuk semua menu kopi di outlet kami",0
"Jangan lupa membawa kartu identitas untuk pengambilan sertifikat pelatihan besok pagi",0
"Halo, terima kasih sudah mempercayakan renovasi rumah kepada tim kami, progress sudah 60 persen",0
"Update: jalan utama menuju kota sedang ada perbaikan, disarankan cari jalur alternatif",0
"Kami ingatkan kembali untuk pembayaran iuran bulanan komunitas paling lambat tanggal 10",0
"Selamat datang karyawan baru, silakan hadir hari pertama jam 8 pagi di kantor pusat",0
"Info: klinik kami buka setiap hari termasuk weekend mulai jam 8 pagi hingga 8 malam",0
"Segera klaim saldo GoPay anda yang tertahan sebesar Rp250.000 melalui link berikut",1
"Nomor whatsapp anda telah terdaftar mendapat hadiah spesial dari BRI, konfirmasi di link ini",1
"Sistem mendeteksi login mencurigakan pada akun anda, verifikasi identitas melalui link berikut segera",1
